Question,Answer
why did coolidge not attend law school,cost
have there been other us presidents that have visited cuba,no
what years were coolidges two sons born in,1906 and 1908
did france cede nearly all of its colonies in europe in 1763,yes
is canada a member of the oecd,yes
is canadas official language zulu,no
what is one significant nonofficial language,chinese
in addition to port royal where else did samuel de champlain establish a s08settlement,quebec city
what was the consitution act formerly called,the british north america act
what was the consitution act formerly called,british north america act
which countries established colonies in canada,france and britain
which countries established colonies in canada,fance and britain
how has canada helped un peacekeeping efforts,during the suez crisis of 1956 lester b pearson eased tensions by proposing the inception of the united nations peacekeeping force canada has since served in 50 peacekeeping missions including every un peacekeeping effort until 1989
how has canada helped un peacekeeping efforts,canada has played a leading role in un peacekeeping efforts during the suez crisis of 1956 lester b pearson eased tensions by proposing the inception of the united nations peacekeeping force canada has since served in 50 peacekeeping missions including every un peacekeeping effort until 1989
what percentage of the population dont speak english or french at home,28
what percentage of the population dont speak english or french at home,15
is canada bilingual,yes
is canada bilingual,yes it is
did canadian soldiers win the battle of vimy ridge in 1917,yes
did canadian soldiers win the battle of vimy ridge in 1917,no it did not
is an official language of canada german,no
is an official language of canada german,no it is not
how many provinces and territories does canada have,a federation now comprising ten provinces and three territories
how many provinces and territories does canada have,ten provinces and three territories
what is canadas national unemployment rate,while as of october 2007 canadas national unemployment rate of 59 is its lowest in 33 years provincial unemployment rates vary from a low of 36 in alberta to a high of 146 in newfoundland and labrador
what is canadas national unemployment rate,in october 2007 canadas national unemployment rate is 59
where is the most densely populated part of canada,the most densely populated part of the country is the quebec citywindsor corridor along the great lakes and saint lawrence river in the southeast
what is the largest country in the world,canada is the second largest country in the world after russia and largest on the continent
what is the largest country in the world,russia
what is the largest religious group in canada,according to 2001 census 771 of canadians identified as being christians of this catholics make up the largest group 436 of canadians the largest protestant denomination is the united church of canada about 165 of canadians declare no religious affiliation and the remaining 63 were affiliated with religions other than christianity of which the largest is islam numbering 19 followed by judaism 11
what is the largest religious group in canada,christian
when did canada have one of the largest armed forces in the world,1944
when did canada have one of the largest armed forces in the world,world war ii
what have been inhabited for millennia by aboriginal peoples,the lands
european books and maps began referring to this region as canada in what year,1545
what was canadas most important industry until the 1800s,the fur trade
is it true that it angered many residents of the thirteen colonies,yes
how do cuba and declining participation relate,canada maintains full relations with both
is it true that provinces have a large degree of autonomy,yes
what did canada adopt in 1965,the maple leaf flag
what arrived in britain,the first canadian army units in ww ii
are canada s two official languages english and french,yes
are canada s official national sports ice hockey  winter  and lacrosse  summer,yes
is canada a geographically vast and ethnically diverse country,yes
did mainland nova scotia not come under british rule with the treaty of utrecht,no
did cartier not use the word  canada  to refer to not only that village  but the entire area subject to donnacona  chief at stadacona,yes
did continental european immigrants not s08settle the prairies,no
is it the world s second largest country by total area,yes
what happened in 1867,canada was formed as a federal semiautonomous polity
are ducks in the arctic northern hemisphere migratory,some are
are ducks in the arctic northern hemisphere migratory,yes
is a drake a male,yes
do all ducks quack,no
what is the name of a specialized species of duck adapted to catch large fish,the smew
what animal attracts the most humor and silliness,the duck
what is an economic use of a duck,meat
what is an economic use of a duck,being farmed for their meat
who is daffy duck,a silly cartoon character
what makes it more difficult for a diving duck to fly,they are heavier
what are the reasons for hunting wild ducks,meat eggs and feathers
do ducks forage underwater,yes
do ducks forage underwater,diving ducks and sea ducks forage underwater
is foie gras often made from ducks,yes
what economic uses to ducks have,they are farmed for their meat eggs and feathers they are also kept and bred by aviculturists and often displayed in zoos
what economic uses to ducks have,they can be farmed for meat eggs and feathers
what kind of ducks feed on land,dabbling ducks
what kind of ducks feed on land,dabbling ducks feed on land
what unrelated water birds are ducks sometimes confused with,loons or divers grebes gallinules and coots
what does the word duck mean,it is the common name for a number of species in the anatidae family of birds
what does the word duck mean,to bend down low as if to get under something
what are some common predators of ducks,pike crocodilians herons hawks and eagles
what are some common predators of ducks,pike crocodilians and other aquatic hunters
how does a mallards tongue work,its tongue is a flat plate and on the tongues back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat
how does a mallards tongue work,it uses short spikes to push struggling prey and other food down its throat
are diving ducks heavier tha dabbling ducks,yes
are adult ducks fast fliers,yes
are ducks an accepted presence in some populated areas,yes
what types of unrelated water birds with similar forms are ducks sometimes confused with,loons or divers grebes gallinules and coots
why are ducklings particularly vulnerable,their inability to fly
why are ducklings particularly vulnerable,their inability to fly makes them easy prey
what are some economic uses for duck,meateggsfeathers
what are some economic uses for duck,being farmed for their meat eggs feathers particularly their down
what allows a duck to filter water out of the side of their beaks and keep food inside,tiny rows of plates called lamellae
what allows a duck to filter water out of the side of their beaks and keep food inside,tiny rows of plates called lamellae like a whales baleen
what expression is part of a conceptual framework for testing computer systems,quacks like a duck
where did the expression a sitting duck come from,in many areas wild duckof various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys
where did the expression a sitting duck come from,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys
is egypt bordered by the gaza strip,yes
is egypt the most populated country in africa,no
does egypt have political influence in the middle east,yes
when was the six day war,1967
what religions has egypt outlawed,all but christianity islam and judaism
what religions has egypt outlawed,all religions and belief except islam christianity and judaism
what is the poulation of egypt,more than 78 million
what is the poulation of egypt,78 million people
why does most of egypts population live near the nile,the only arable agricultural land is found there
are there a large number of jews living in egypt today,no
during what period was akhenaten a pharaoh,the new kingdom c155087221070 bc
during what period was akhenaten a pharaoh,the new kingdom
is egypt in asia,no
does egypt receive the least rainfall in the world,yes
does egypts foreign policy operates along moderate lines,yes
since when has egypt been a republic,june 18 1953
when were the great sphinx and the pyramids of giza built,during the old kingdom
what countries border egypt,libya sudan the gaza strip and israel
what is the estimated population of egypt,more than 78 million
what is the estimated population of egypt,78 million
does snow fall in egypt,yes
when did organized agriculture appear in the nile valley,6000 bc
when did organized agriculture appear in the nile valley,about 6000 bc
are elephants the largest land animals alive today,yes
can an elephant kill a rhinoceros,yes
are elephants good swimmers,yes
how many living species of african elephants are there,2
how many living species of african elephants are there,the african elephant genus contains two or arguably three living species
how long may elephants live,70 years
how long may elephants live,as long as 70 years sometimes longer
why does the phrase elephants never forget have no metaphorical meaning,it refers literally to elephants supposedly having an excellent memory
why does the phrase elephants never forget have no metaphorical meaning,because it refers literally to elephants supposedly having an excellent memory
how many living species of asian elephants are there,1
how many living species of asian elephants are there,one
how much do elephants weight at birth,120 kilograms
how much do elephants weight at birth,at birth it is common for an elephant calf to weigh 120 kilograms 265 lb
what did aristotle say about elephants,the beast which pass08seth all others in wit and mind
what did aristotle say about elephants,aristotle once said the elephant was the beast which pass08seth all others in wit and mind
are elephant populations in west africa generally small and fragmented,yes
is the asian elephant larger than the african,no
is the asian elephant larger than the african,sometimes
is an elephants skin tough,yes
how do elephants communicate over long distances,by producing and receiving low frequency sound
how do elephants communicate over long distances,by producing and receiving lowfrequency sound infrasound
when do african elephants lie down,when they are sick or wounded
how long is the elephants gestation period,22 months
how many species of african elephants have been proposed,three
what are the elephants ears important for,temperature regulation
what land animal has the largest brain,elephant
what land animal has the largest brain,the elephant
are elephants mammals,yes
have elephants been used as working animals,yes
do they prefer forested areas,yes
what is the world population of asian elephants,60000
what is the world population of asian elephants,the world population of asian elephants – also called indian elephants or elephas maximus – is estimated to be around 60000
what part of an elephant is very important for temperature regulation,ears
what part of an elephant is very important for temperature regulation,the large flapping ears of an elephant are also very important for temperature regulation
where was the largest elephant ever recorded shot,angola
where was the largest elephant ever recorded shot,the largest elephant ever recorded was shot in angola in 1956
is an asian elephant smaller than an african elephant,yes
what land animal is larger than an elephant,none
what land animal is larger than an elephant,none the elephant is the largest land animal
has tusklessness become a rare abnormality,no
has tusklessness become a rare abnormality,no tusklessness has become a widespread hereditary trait
were the treaties signed in 1947 and 1948 with the ukraine,no
is finnish a member of the balticfinnic subgroup of the uralic languages,yes
is the most read newspaper in finland taloussanomat,no
which russian army general conquered finland in 1809,alexander i
what is the life expectancy for men in finland,75 years
in what year were the games of the xv olympiad held,1952
what body of water lies to the south of finland,the gulf of finland
what body of water lies to the south of finland,archipelago sea
name an animal that is growing in number due to recent conservation efforts,golden eagle brown bear or eurasian lynx change imperative to interrogative
name an animal that is growing in number due to recent conservation efforts,golden eagle
today are there more cell phone subscriptions than people in finland,yes
is matti vanhanen the prime minister of finland,yes
is the capital city oslo,no
does it have a border with norway,yes
what is the life expectancy for men,75 years
what is the biggest city in finland,greater helsinki
what is the biggest city in finland,the cities of the greater helsinki metropolitan area
who is the most popular rock group in finland,cmx
what is finlands economy like,a highly industrialised freemarket economy
where is finland located,northern europe
what is the weather like in summer,relatively warm
does salmon remain the favorite of fly rod enthusiasts,yes
are there cathedrals scattered all across finland,yes
according to readers digest is finland best for living,yes
when did the first verifiable written documents appear,twelfth century
when did the first verifiable written documents appear,the first verifiable written documents appeared in the twelfth century
what is the capital city,helsinki
what is the capital city,the capital city is helsinki
what is the most extensively celebrated holiday,christmas
what is the most extensively celebrated holiday,christmas is the most extensively celebrated holiday
does a large proportion of the population speak swedish as its mother tongue,no
do women live longer than men,yes
what is a country with which finland is involved in an international conflict,none
what is a country with which finland is involved in an international conflict,finland is not involved in international conflicts or border disputes
was ford a member of the house of representatives,yes
for how long was ford a member of the house of representatives,over eight years
for how long was ford a member of the house of representatives,ford served for over eight years as the republican minority leader of the united states house of representatives
was gerald ford a member of delta kappa epsilon,yes
did ford get an award called congressmans congressman,yes
did ford get an award called congressmans congressman,no
did ford attend the university of michigan,yes
what positions ford played in the school football team,center and linebacker
what positions ford played in the school football team,captain
what did ford say about his biological father,he was abusive and had a history of hitting his mother
what did ford say about his biological father,his biological father was abusive and had a history of hitting his mother
who did ford nominate for vice president,bob dole
who did ford nominate for vice president,nelson rockefeller
was ford active about vietnamese affairs,no
hard,hard
was ford active about vietnamese affairs,yes
had fords wife married before,yes
had fords wife married before,no
is ford related with the assassination of john f kennedy,yes
was gerald ford the 38th president of the united states,yes
did gerald ford serve as the republican minority leader of the house of representatives,yes
was ford an eagle scout,yes
what district was ford elected from,michigans 5th congressional district
how many eagle scouts were involved in fords funeral procession,400
how many eagle scouts were involved in fords funeral procession,about 400
which future heisman trophy winner did ford tackle,jay berwanger
has another us president been an eagle scout,no
did ford need to do extra work to pay for college,yes
have more than five presidents lived past the age of 90,no
how do kwajalein and eniwetok relate,the monterey supported landings at both locations
what did ford receive on april 13 1942,ford received a commission as ensign in the us naval reserve
was ford released from the hospital,yes
was ford interred at his presidential museum in grand rapids michigan,yes
is ford one of only four former presidents to live to 90 or more years of age,yes
was ford the last surviving member of the warren commission,yes
did grand rapids supporters not urge him to take on bartel j jonkman  the incumbent republican congressman,no
did they not claim ford s pardon was quid pro quo in exchange for nixon s resignation,they did claim fords pardon was quid pro quo
does ghana have twice the per capita output of the poorer countries in west africa,yes
is english ghanas official language,yes
did the dutch build the elmina castle,no
when did ghana achieve independence from the united kingdom,1957
how many regions is ghana divided into,10
who is the head of state of ghana,president john agyekum kofuor
who is the head of state of ghana,john agyekum kufuor
what is the dominant religion in ghana,christian
what are the two subfamilies of the native ghanaian languages,kwa and gur
what is the weather like at lake volta,warm and comparatively dry
is ghana in asia,no
is english the official language,yes
is ghanas head of state john agyekum kufuor,yes
what does the word ghana mean,warrior king
who was kwame nkrumah,founder and first president
who was kwame nkrumah,founder and first president of the modern ghanaian state
where is old ghana in relation to present ghana,500 miles north
where is old ghana in relation to present ghana,500 miles north of the present ghana and occupied the area between rivers senegal and niger
who makes up ghanas parliament,the new patriotic party and national democratic congress
what european countries established states in ghana,the uk
what european countries established states in ghana,portugual france britain netherlands
does the gray wolf share an ancestry with the domestic dog,yes
do wolf pups tend to have darker fur than adults,yes
do wolf pups tend to have darker fur than adults,yes they do tend to have darker furs
do wolves leave their pack,yes
do wolves leave their pack,they leave their birth pack when they reach sexual maturity
what kinds of coats do wolves have,bulky coats with two layers
what kinds of coats do wolves have,tough guard hairs that repel water and dirt and a dense waterresistant layer
where do wolves have scent glands,helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts
where do wolves have scent glands,between a wolfs toes
how much do wolves weigh,typically varies between 32 and 62 kilograms
how much do wolves weigh,between 32 and 68 kilograms
why do wolves howl,howling helps pack members keep in touch allowing them to communicate effectively in thickly forested areas or over great distances howling also helps to call pack members to a specific location howling can also serve as a declaration of territory as shown in a dominant wolfaposs tendency to respond to a human imitation of a rival wolf in an area the wolf considers its own
why do wolves howl,to pack members keep in touch allowing them to communicate effectively in thickly forested areas or over great distances
what is surplus killing,surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting
what is surplus killing,the killing of several prey animals too numerous to eat at one sitting
are gray wolves native to north america,yes
are gray wolves native to north america,no current theory suggests that its from eurasia
is the gray wolf a mammal,yes
are a wolfs teeth its main weapons,yes
are wolves built for stamina,yes
where is the largest gray wolf population thought to be found,kazakhstan
to what genus does the gray wolf belong,canis
when do wolves molt,late spring or early summer
why is it beneficial for alpha males and females to forcefully prevent other wolves from mating,a pack can only suppport one littler per year
why is it beneficial for alpha males and females to forcefully prevent other wolves from mating,the pack tension rises as each mature wolf feels urged to mate
what type of tools do biologists use to capture wolves for tagging,darting and foot hold traps
forward erect ears and slightly bristle hackles are a sign of what in wolves,dominance
was grover cleveland born in new york,no
did grover cleveland win the 1884 election,yes
did grover cleveland support womens suffrage,no
where was grover cleveland married,in the white house
where was grover cleveland married,in the blue room in the white house
what did cleveland die from,a heart attack
how many years after cleveland left office did the us win the spanishamerican war,one year
how many years after cleveland left office did the us win the spanishamerican war,one
what did clevelands opponents say in 1884 to counter his innocent image,that he had fathered an illegitimate child
what did clevelands opponents say in 1884 to counter his innocent image,that he had fathered an illegitimate child while he was a lawyer in buffalo
who did cleveland run against in 1884,former senator james g blaine of maine
who did cleveland run against in 1884,james g blaine
why did cleveland want to hide his cancer surgery from the public,to avoid further market panic
why did cleveland want to hide his cancer surgery from the public,because of the financial depression of the country
was grover cleveland the twentyseventh president of the united states,no
is grover cleveland honest,yes
was grover cleveland married in the whitehouse,yes
when was he elected sheriff of erire county new york,yes
when was he elected sheriff of erire county new york,1870
when did he die,june 24 1908
when did he die,1908
which election did grover cleveland win,1884 and 1892 presidential elections
who were grover clevelands parents,cleveland was born in caldwell new jersey to the reverend richard cleveland and anne neal
who were grover clevelands parents,reverend richard cleveland and anne neal
how many children did grover cleveland have,5
how many children did grover cleveland have,six
who lost control of his party to the agrarians and silverites in 1896,grover cleveland
is it true that he sent in federal troops to chicago,yes
was cleveland born in caldwell new jersey to the reverend richard cleveland and anne neal,yes
was grover cleveland elected sheriff of erie county new york,yes
was cleveland s portrait on the us  1000 bill from 1928 to 1946,yes
is he buried in the princeton cemetery of the nassau presbyterian church,yes
did the department of the interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements,yes
did the team  sedating cleveland with nitrous oxide lrb laughing gas rrb  not remove his upper left jaw and portions of his hard palate,yes
he became chief engineer in the department of bridges and highways in what year,in 1894
what led becquerel to investigate the spontaneous emission of nuclear radiation,phographic plates being fully exposed
is it true that he married louise désirée lorieux in 1890,yes
is it true that he shared the nobel prize in physics,yes
when did he marry louise désirée lorieux,1890
was becquerel elected permanent secretary of the académie des sciences,yes
was becquerel born in paris into a family which including he and his son jean produced four generations of scientists,yes
who won the 1903 nobel prize in physics for discovering radioactivity,henri becquerel
did he not die at the age of 55 in le croisic,yes he died at the age of 55
did one places between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cutout design,yes
what happened in 1896,becquerel accidentally discovered radioactivity
what happened with a bromide emulsion in two sheets of very thick black paper,the plate does not become clouded upon being exposed to the sun for a day
is there a becquerel crater on the moon and a becquerel crater on mars,yes
are the javanese the largest and politically dominant ethnic group in indonesia,yes
is indonesia a monarchy with a presidential system,no
did the japanese invasion and subsequent occupation during wwii end dutch rule,yes
in what year did east timor secede from indonesia,1999
when did islam become the dominant religion in java and sumatra,the end of the 16th century
when did islam become the dominant religion in java and sumatra,by the end of the 16th century
does indonesia have the worlds hightest level of biodiversity,no
was indonesia named after it became an independent country,no
why did indonesia break off relations with the peoples republic of china,because of anticommunist purges early in the suharto era
why did indonesia break off relations with the peoples republic of china,anticommunist purges early in the suharto era
which spice originally attracted europeans to indonesia,nutmeg cloves or cubeb pepper
which spice originally attracted europeans to indonesia,nutmeg cloves and cubeb pepper
what is jakarta,indonesias special capital region
what shares land borders with papua new guinea east timor and malaysia,indonesia
what are the largest and politically dominant ethnic group,the javanese
what happens when the srivijaya kingdom formed trade links,the indonesian archipelago became an important trade region
is it true that indonesia has vast areas of wilderness,yes
is indonesia a republic,yes
are sports in indonesia generally maleorientated,yes
is indonesia the worlds largest archipelagic state,yes
are sports in indonesia generally maleorientated and spectator sports are often associated with illegal gambling,yes
is pencak silat an indonesian martial art,yes
has indonesia the world s largest muslim population,yes
who has its own political legislature and governor,each province
is it the world s largest archipelagic state,yes
is it the world s fourth most populous country and the most populous muslimmajority nation,yes
is james monrow the fifth president of us,yes
what is the first word on the page,james
what is the first word on the page,jamesmonroe
what is the first number on the page,28
when did monroes presidency expired,march 4 1825
what is monroes fathers name,spence
what is monroes fathers name,spence monroe
what is monroes daughters name,maria hester monroe gouverneur
what does era of good feelings refers to,reduced tension
what does era of good feelings refers to,monroe allowed his political base to decay which reduced tensions and led to the naming of his era as the era of good feelings
did monroe wedding happen at the trinity church in new york,yes
what is monroe doctrine,a doctrine declaring us opposition to european interference in the americas
what is monroe doctrine,in it monroe proclaimed the americas should be free from future european colonization and free from european interference in sovereign countries affairs it further stated the united states intention to stay neutral in european wars and wars between european powers and their colonies but to consider any new colonies or interference with independent countries in the americas as hostile acts toward the united states
was james monroe president of the united states,yes
did james monroe attend the college of william and mary,yes
did james monroe fight in the continental army,yes
where was james monroe born,westmoreland county virginia
where was james monroe shot,at the battle of trenton in his left shoulder
where was james monroe shot,the battle of trenton
who did james monroe marry,elizabeth kortright
what did james monroe do before being elected governor,he practiced law in virginia
what did james monroe do before being elected governor,he practiced law
in which years were john monroe elected as president,18171825
who was john monroe standing behind in the painting of  washington crossing the delaware,george washington
when was james monroe appointed to secretary of war,1814
when did james monroe die,july 4 1831
when did james monroe graduate from william and mary,1776
when was james monroe elected president,monroe was elected president in the election of 1816 and reelected in 1820
which property did james monroe sell in 1817,monroe hill on the grounds of the university of virginia
when did james monroe introduce the monroe doctrine,december 2 1823
who did james monroe live with in new york city,his daughter maria hester monroe gouverneur
what did james monroes letters not contain,no letters survive in which he might have discussed his religious beliefs
what was the result of the rejection of the jay treaty,as a result the two nations moved closer toward the war of 1812
who is depicted holding the flag in the famous painting of washington crossing the delaware,monroe
what dwindled and eventually died out starting with the hartford convention,the federalist party
is it true that he practiced law in fredericksburg,yes
what did james monroe make in 1817,two long tours
was monroe anticlerical,no
was monroe appointed minister to france from 1794 to 1796,yes
what expired on march,monroes presidency
had monroe racked up many debts during his years of public life,yes
who dismantled partisan and sectional coalitions,many congressmen
what happened in 1811,monroe returned to the virginia house of delegates and was elected to another term as governor of virginia
what happened in the election of 1816,monroe was elected president
who died in childbirth in 1772,margaret miller
who died in 1832,margaret miller
is watt commemorated by statuary in george square glasgow and princes street edinburgh,yes
was watt a gentleman greatly respected by other prominent men of the industrial revolution,yes
was watt a fellow of the royal society of edinburgh and the royal society of london,yes
four years after opening his shop  watt began what,watt began to experiment with steam after his friend professor john robison called his attention to it
was watt ranked 22nd in michael h hart s list of the most influential figures in history,yes
did john adams represent the continental congress in europe,yes
was adams raised congregationalist,yes
was adams an opponent of the stamp act,yes
when did adams graduate from college,1755
who was on the committee with adams to draft  a declaration of independence,thomas jefferson benjamin franklin robert r livingston and roger sherman
what did jefferson call john adams,the colossus of independence
what did jefferson call john adams,colossus of independence
what was adams political party,the federalist party
what was adams political party,federalist
was adams the first to introduce a bicameral legislature,yes
did john adams get along with alexander hamilton,no
did john adams go to harvard,yes
did john adams support the stamp act of 1765,no
is adams birthplace part of a national park,yes
when did john adams serve as vice president,17891797
with what party did adams run for presidency,the federalist party
where is adams buried,united first parish church
who were the midnight judges,they were a series of judges so called because most of them were formally appointed days before adams presidential term expired
who were the midnight judges,they were judges formally appointed days before adams term expired
in what ways was adams opposed by anderw hamilton,hamilton wanted to control the army differently than adams
what information did he record in his diary,descriptions of events and ompressions of men
what information did he record in his diary,he wrote descriptions of events and impressions of men
who was defeated for reelection in the revolution of 1800 by thomas jefferson,john adams
who represented the continental congress in europe,john adams
what is now part of adams national historical park,john adams birthplace
is it true that adams had spent some time as the ambassador,yes
is it true that massachus08setts sent him in 1774,yes
who did massachus08setts send in 1774,john adams
are his last words often quoted as  thomas jefferson survives,yes
the john adams library  housed at the boston public library  contains what,adamss personal collection of more than 3500 volumes
adams  opponents were what,democratic republicans
did the election of 1800 not become a bitter and volatile battle  with each side expressing extraordinary fear of the other party and its policies,no
what happened in 1764,adams married abigail smith
is a kangaroo a reptile,no
is a kangaroo on the australian coat of arms,yes
was james cook the first to record the name kangooroo,yes
what is a collective noun for kangaroos,mob troop or court
where do joeys complete postnatal development,marsupium
where do joeys complete postnatal development,a pouch called a marsupium
what do kangaroos use for crawlwalking,its hind feet
what do kangaroos use for crawlwalking,their hind feet and their tails
why do kangaroos have a wide bite,the two sides of the lower jaw are not joined together and the lower incisors are farther apart
why do kangaroos have a wide bite,because of grazing
what is responsible for converting the hydrogen byproduct of fermentation into acetate,bacteria
what is responsible for converting the hydrogen byproduct of fermentation into acetate,the digestive system of a kangaroo
are wild kangaroos shot for meat,yes
have kangaroos fared well since european s08settlement,yes
do kangaroos have many natural predators,no
what is the average life expectancy of a kangaroo,46 years
what is the average life expectancy of a kangaroo,about 46 years
when did the first official report of kangaroo blindness take place,1994
what are vehicles that frequent isolated roads often fitted with,roo bars
do kangaroos eat plants,yes
what are some extinct predators of the kangaroo,thylacine marsupial lion maagalania and wonambi
what are some extinct predators of the kangaroo,the thylacine
is a kangaroo a marsupial,yes
